date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,movingAverage,standardDeviation,BollingerBandsUpper,BollingerBandsLower,change,gain,loss,AvgU,AvgD,rs,rsi
2011-09-19,4.92,4.92,4.81,4.87,119.81,4.92,4.92,4.81,4.87,119.81,0.0,1.0,8.3675,2.518712860507169,13.404925721014337,3.330074278985662,0.04999999999999982,0.04999999999999982,0.0,0.11289022723312565,0.4145850155972427,0.2722969306319436,21.401995405010922
2011-09-20,4.9,4.9,4.9,4.9,20.0,4.9,4.9,4.9,4.9,20.0,0.0,1.0,8.067499999999999,2.558210466219243,13.183920932438486,2.951079067561513,-0.019999999999999574,0.0,0.019999999999999574,0.10482663957361671,0.3864003716260111,0.27129021416955634,21.339754773993207
2011-09-21,5.66,5.66,4.92,4.92,89.28,5.66,5.66,4.92,4.92,89.28,0.0,1.0,7.766,2.4623467625310944,12.690693525062189,2.841306474937811,0.7599999999999998,0.7599999999999998,0.0,0.15162473674692978,0.358800345081296,0.422588046041525,29.705581121492827
2011-09-22,5.66,5.79,5.66,5.7,17.63,5.66,5.79,5.66,5.7,17.63,0.0,1.0,7.464,2.3207834430367855,12.105566886073571,2.8224331139264294,0.0,0.0,-0.0,0.14079439840786334,0.3331717490040606,0.4225880460415249,29.705581121492827
2011-09-23,5.72,5.72,5.68,5.68,43.78,5.72,5.72,5.68,5.68,43.78,0.0,1.0,7.164999999999999,2.1231121645259083,11.411224329051816,2.9187756709481825,0.05999999999999961,0.05999999999999961,0.0,0.13502336995015882,0.309373766932342,0.4364409151073483,30.38349231891185
2011-09-24,5.72,5.72,5.7,5.7,20.68,5.72,5.72,5.7,5.7,20.68,0.0,1.0,6.866,1.854983047163276,10.575966094326551,3.1560339056734477,0.0,0.0,-0.0,0.12537884352514747,0.28727564072288897,0.4364409151073483,30.38349231891185
2011-09-25,5.68,5.76,5.68,5.7,90.59,5.68,5.76,5.68,5.7,90.59,0.0,1.0,6.625,1.6609651601276558,9.946930320255312,3.3030696797446883,-0.040000000000000036,0.0,0.040000000000000036,0.1164232118447798,0.2696130949569684,0.43181586511353065,30.158617154258963
2011-09-26,6.05,6.05,6.05,6.05,12.22,6.05,6.05,6.05,6.05,12.22,0.0,1.0,6.4275,1.4613831768135555,9.350266353627111,3.5047336463728893,0.3700000000000001,0.3700000000000001,0.0,0.1345358395701527,0.25035501674575633,0.537380242341132,34.95428310713855
2011-09-27,4.8,6.06,4.8,6.06,39.58,4.8,6.06,4.8,6.06,39.58,0.0,1.0,6.2675,1.4553200950125589,9.178140190025118,3.3568598099748823,-1.25,0.0,1.25,0.12492613674371322,0.3217582298353452,0.38826089019585375,27.967429820851507
2011-09-28,4.92,4.92,4.85,4.85,24.35,4.92,4.92,4.85,4.85,24.35,0.0,1.0,6.1025,1.4086233481105233,8.919746696221047,3.2852533037789535,0.1200000000000001,0.1200000000000001,0.0,0.12457426983344799,0.29877549913282053,0.4169494158490839,29.42585043512183
2011-09-29,4.82,4.91,4.82,4.9,83.05,4.82,4.91,4.82,4.9,83.05,0.0,1.0,5.8995,1.273335755945154,8.446171511890308,3.352828488109692,-0.09999999999999964,0.0,0.09999999999999964,0.11567610770248743,0.2845772491947619,0.4064840321206416,28.90072143284563
2011-09-30,4.82,4.82,4.81,4.81,46.96,4.82,4.82,4.81,4.81,46.96,0.0,1.0,5.696,1.080942084236561,7.857884168473122,3.534115831526878,0.0,0.0,-0.0,0.10741352858088118,0.2642503028237075,0.4064840321206416,28.90072143284563
2011-10-04,4.87,4.87,4.83,4.85,30.58,4.87,4.87,4.83,4.85,30.58,0.0,1.0,5.539499999999999,0.9482475526214807,7.435995105242961,3.6430048947570377,0.04999999999999982,0.04999999999999982,0.0,0.10331256225367536,0.24537528119344268,0.4210389968834246,29.62895443452524
2011-10-05,4.98,5.3,4.8,4.86,142.52,4.98,5.3,4.8,4.86,142.52,0.0,1.0,5.3635,0.6494230232736529,6.662346046547306,4.064653953452694,0.11000000000000032,0.11000000000000032,0.0,0.10379023637841288,0.22784847539391107,0.4555230672444804,31.29617643963917
2011-10-06,4.92,6.25,4.8,4.92,113.72,4.92,6.25,4.8,4.92,113.72,0.0,1.0,5.2395000000000005,0.4445633576301193,6.128626715260239,4.350373284739762,-0.0600000000000005,0.0,0.0600000000000005,0.09637664806566909,0.21585929858006034,0.44647901989695304,30.866608762065567
2011-10-07,4.8,4.99,4.8,4.88,170.84,4.8,4.99,4.8,4.88,170.84,0.0,1.0,5.181,0.41966026359676034,6.020320527193521,4.341679472806479,-0.1200000000000001,0.0,0.1200000000000001,0.08949260177526416,0.20901220582434174,0.4281692613228322,29.980288255626178
2011-10-08,4.61,4.81,4.59,4.8,94.64,4.61,4.81,4.59,4.8,94.64,0.0,1.0,5.135,0.429693893493101,5.994387786986202,4.2756122130137975,-0.1899999999999995,0.0,0.1899999999999995,0.08310027307703102,0.20765419112260303,0.4001858697278449,28.580910461953835
2011-10-09,3.99,4.57,3.99,4.57,56.0,3.99,4.57,3.99,4.57,56.0,0.0,1.0,5.078,0.5002167951051429,6.078433590210286,4.077566409789714,-0.6200000000000001,0.0,0.6200000000000001,0.07716453928581452,0.23710746318527423,0.3254412081728471,24.55342463823618
2011-10-10,3.89,3.89,3.89,3.89,11.0,3.89,3.89,3.89,3.89,11.0,0.0,1.0,5.029999999999999,0.5650989666467818,6.1601979332935635,3.8998020667064357,-0.10000000000000009,0.0,0.10000000000000009,0.07165278647968493,0.2273140729577547,0.3152149162933756,23.966799067466084
2011-10-11,4.51,4.51,3.99,3.99,132.5,4.51,4.51,3.99,3.99,132.5,0.0,1.0,5.012,0.5760902707041646,6.164180541408329,3.8598194585916703,0.6199999999999997,0.6199999999999997,0.0,0.11082044458827882,0.2110773534607722,0.5250229016580612,34.42721424624095
2011-10-12,4.1,4.1,3.98,3.98,78.08,4.1,4.1,3.98,3.98,78.08,0.0,1.0,4.971,0.611098234845738,6.193196469691476,3.748803530308524,-0.41000000000000014,0.0,0.41000000000000014,0.1029046985462589,0.2252861139278599,0.4567733747638373,31.35514299455717
2011-10-13,3.93,3.99,3.93,3.95,79.52,3.93,3.99,3.93,3.95,79.52,0.0,1.0,4.9225,0.6540149282056087,6.230529856411218,3.614470143588783,-0.16999999999999948,0.0,0.16999999999999948,0.09555436293581185,0.22133710579015559,0.4317141610517156,30.153655862046165
2011-10-14,3.97,3.97,3.93,3.93,109.62,3.97,3.97,3.93,3.93,109.62,0.0,1.0,4.838,0.6628296597880446,6.163659319576089,3.512340680423911,0.040000000000000036,0.040000000000000036,0.0,0.09158619415468244,0.2055273125194302,0.4456156850006202,30.825321669114928
